Shipper ID,Tracking ID,Origin Hub Name,Dest Hub Name,Count
11398224,26062902004185P0JFJ5FSKJ-DO,CBN-CBN,MAC-KD5,1
11398224,26062902004185PNRCQZBVGJ-01,MAC-MAC,CBN-KNG,1
11398224,26062902004185PNRCQZBVGJ-DO,CBN-CBN,MAC-KD5,1
11398224,26062902024514BLXEHGQ3-01,MAC-MAC,BDO-CMS,1
11398224,26062902024514BLXEHGQ3-DO,BDO-BDO,MAC-KD5,1
11398224,26062902024514GLYTZYLDTM-01,MAC-MAC,BDO-CMS,1
11398224,26062902024514GLYTZYLDTM-DO,BDO-BDO,MAC-KD5,1
11398224,26062902024514RJ1AMX3MMR-01,MAC-MAC,BDO-CMS,1
11398224,26062902024514RJ1AMX3MMR-DO,BDO-BDO,MAC-KD5,1
11398224,26062902024514S94HZUZKMK-01,MAC-MAC,BDO-CMS,1
11398224,26062902024514S94HZUZKMK-DO,BDO-BDO,MAC-KD5,1
11398224,260629020336076YSB9TLLX-01,MAC-MAC,BDO-CMS,1
11398224,260629020336076YSB9TLLX-DO,BDO-BDO,MAC-KD5,1
11398224,26062902054642XPYM72JH-01,MAC-MAC,MAC-JPK,1
11398224,26062902054642XPYM72JH-DO,MAC-MAC,MAC-KD5,1
11398224,26062902054643AQ5PCART23-01,MAC-MAC,MAC-JPK,1
11398224,26062902054643AQ5PCART23-DO,MAC-MAC,MAC-KD5,1
11398224,26062902054643MVPJSZICVN-01,MAC-MAC,MAC-JPK,1
11398224,26062902054643MVPJSZICVN-02,MAC-MAC,MAC-JPK,1
11398224,26062902054643MVPJSZICVN-DO,MAC-MAC,MAC-KD5,1
11398224,26062902070006PWQJFBZ0L-01,SUB-SUB,CBN-TGL,1
11398224,26062902070006PWQJFBZ0L-DO,CBN-CBN,SUB-NWE,1
11398224,26062902181279OGW4WFTF2-01,MAC-MAC,BDO-BJR,1
11398224,26062902181279OGW4WFTF2-DO,BDO-BJR,MAC-KD5,1
11398224,26062902192835CA1JZ4IT-01,MAC-MAC,BDO-PWA,1
11398224,26062902192835CA1JZ4IT-DO,BDO-BDO,MAC-KD5,1
11398224,26062902204725AKNUF0OQ-01,SUB-SUB,SOC-NGW,1
11398224,26062902204725AKNUF0OQ-DO,SOC-SOC,SUB-NWE,1
11398224,26062902225959QSVQRFH7M-01,MAC-MAC,BDO-PWA,1
11398224,26062902225959QSVQRFH7M-DO,BDO-BDO,MAC-KD5,1
11398224,26062902225959XSGH3MO9-01,MAC-MAC,BDO-PWA,1
11398224,26062902225959XSGH3MO9-02,MAC-MAC,BDO-PWA,1
11398224,26062902225959XSGH3MO9-DO,BDO-BDO,MAC-KD5,1
11398224,26062902241472EGFHVK8KQL-01,SUB-SUB,SRG-KUD,1
11398224,26062902241472EGFHVK8KQL-DO,SRG-SRG,SUB-NWE,1
11398224,260629023009204KNSJT2MQ-01,SUB-SUB,SOC-NGW,1
11398224,260629023009204KNSJT2MQ-DO,SOC-SOC,SUB-NWE,1
11398224,26062902302539IUA2R2MAV-01,SUB-SUB,SOC-SGN,1
11398224,26062902302539IUA2R2MAV-DO,SOC-SOC,SUB-NWE,1
11398224,26062902302539L6QTHJHJBD-01,SUB-SUB,SOC-SGN,1
11398224,26062902302539L6QTHJHJBD-DO,SOC-SOC,SUB-NWE,1
11398224,26062902312775LBLGFEJWG-01,MAC-MAC,MAC-KRL,1
11398224,26062902312775LBLGFEJWG-DO,MAC-KRL,MAC-KD5,1
11398224,260629023427059TXH91HJ3-01,SUB-SUB,SUB-TBN,1
